ITEM,ITEM,QTY,REFERENCE DESIGNATORS,PART,DESCRIPTION,MANUFACTURER,MAN PART NUMBER
33,35,28,"R8,R9,R20,R80,R81,R82,R84,R94,R103,R105,R106,R107,R108,R109,R110,R111,R112,R113,R115,R116,R117,R118,R119,R149,R151,R156,R159,R203,E81",100K,Resistor 100Kohm 1/16W 1% 0402,Stackpole Electronics,RMCF0402FT100K
32,36,28,"R11,R12,R13,R14,R15,R19,R22,R24,R27,R28,R78,R120,R121,R142,R146,R161,R163,R164,R165,R166,R168,R169,R170,R171,R172,R197,R199,R204",0,Resistor Zero ohm Jumper 0402,Yageo,RC0402JR-070RL
43,37,1,R17,"1.1K,0402",RES 1.10K OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-071K1L
34,38,24,"R18,R23,R79,R122,R123,R124,R125,R141,R147,R148,R158,R173,R174,R187,R190,R191,R192,R193,R194,R195,R196,R212,R214,R216",10K,Resistor 10Kohm 1/16W 5% 0402,Rohm,MCR01MZPJ103
35,39,1,R21,1M,Resistor 1Mohm 1/16W 1% 0402,Stackpole Electronics,RMCF0402FT1M00
36,40,48,"R25,R26,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R70,R71,R72,R73,R69,R201",33,Resistor 33ohm 1/16W 5% 0402,Panasonic,ERJ-2GEJ330X
57,41,4,"R74,R75,R175,R188",2.2K,RES 2.20K OHM 1/16W 1% 0402 SMD,Yageo,CRCW04022K20JNED
38,42,1,R76,50,RES 50 OHM 2W 1% WW 4124,Stackpole Electronics,SM4124FB50R0
56,43,4,"R129,R130,R133,R134",49.9,RES 49.9 OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-0749R9L
39,44,1,R144,"10,402",RES 10 OHM 1/16W 1% 0402 SMD,Stackpole Electronics,RMCF0402FT10R0
,45,10,"R132,R135,R136,R137,R139,R153,R205,R206,R207,R208","100,402",RES 100 OHM 1/16W 1% 0402 SMD,Panasonic,ERJ-2RKF1000X
39,46,1,R189,"30.1K,402",RES 30.1K OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-0730K1L
39,47,1,R150,"52.3K,402",RES 52.3K OHM 1/10W 1% 0402 SMD,Panasonic,ERJ-2RKF5232X
57,48,1,S1,Switch,SWITCH TACT SPST W/GND SMD,Omron,B3U-1100P
66,49,1,U1,NCP349,IC CTLR OVP 28V W/NMOS 6-DFN,On Semiconductor,NCP349MNAETBG
60,50,1,U2,TPS65217B,Integrated Power Management Unit,TI,TPS65217B
,51,1,U5,AM3358_ZCZ,SubArctic Cortex A8 Processor 15x15,TI,AM3359ZCZ 
,52,1,U6,MT4764M16,256MB(128Mx16)x1 400MHz,Micron,MT47H128M16RT-25E:C
,53,1,U7,CAT24C256W,IC EEPROM 32KBIT 400KHZ SOT23-6,ON,CAT24C256WI-G
,54,1,U8,TPS73701DRBR,IC REG LDO CAP FREE 8-SON,TI,TPS73701DRBR
,55,1,U9,TPS2051BDGN,IC 1.5A PWR DIST SWITCH 8-SOIC,TI,TPS2051BDGN
,56,1,U10,TPD4S012,IC 4CH ESD SOLUTION W/CLAMP 6SON,TI,TPD4S012DRYR
,57,1,U11,USB2412_QFN28_MKTG,IC USB 2.0 HS HUB CTRLR 28QFN,SMSC,USB2412-DZK-TR 
58,58,1,U12,FT2232HLQFP,IC USB HS DUAL UART/FIFO 64-LQFP,FTDI,FT2232HL
59,59,1,U13,93LC56BT-I/OT,IC EEPROM 2KBIT 2MHZ SOT23-6,Microchip,93LC56BT-I/OT
,60,1,U14,SN74LVC2G00DCU,IC DUAL 2-IN NAND GATE US8,TI,SN74LVC2G00DCUR
,61,1,U15,LAN8710A,TXRX ETHERNET 10/100 RMII,SMSC,LAN8710A-EZK-TR 
,62,1,U16,SN74LVC2G07DCK,IC BUFF/DVR DL NON-INV SC706,TI,SN74LVC2G07DCKR
,63,1,U17,SN74AUP2G08DCU,IC GATE POS-AND DL 2INP LP 8US8,TI,SN74AUP2G08DCU
,64,1,Y1,32.768KHz MC-306,Crystal 32.768KHz,Epson,MC-30632.7680k-A
,65,2,"Y3,Y5",24MHZ,CRYSTAL 24.0000MHZ 18PF SMD,Citizen,CS325-24.000MABJ-UT
,66,1,Y4,25MHz,Crystal 25MHz,Abracon,ABM3-25.000MHz-B2-T
67,67,1,Y6,12MHZ,CRYSTAL 12.000 MHZ 20PF SMD,ECS,ECS-120-20-30B-TR
